"3120037","KC6SSS - Andrew ","Private Call","No","","","","",""
"3120038","KC0VYS - Robert ","Private Call","No","","","","",""
"3120039","KC1CP - Jonathan","Private Call","No","","","","",""
"3120040","N0FJ - Philip ","Private Call","No","","","","",""
"3120041","KC9GPJ - David ","Private Call","No","","","","",""
"3120042","W0SY - Alan ","Private Call","No","","","","",""
"3120043","KB0PQP - Tyler ","Private Call","No","","","","",""
"3120044","K0PR - Philip ","Private Call","No","","","","",""
"3120045","KE0HWT - Laurenc","Private Call","No","","","","",""
"3120046","KB0ZGY - Richard","Private Call","No","","","","",""
"3120047","KB0NRG - Ronald ","Private Call","No","","","","",""
"3120048","N5SD - Stephen ","Private Call","No","","","","",""
"3120049","KE0CUY - Robert ","Private Call","No","","","","",""
"3120050","KC0LDA - Douglas","Private Call","No","","","","",""
"3120051","WB0KIA - Kenneth","Private Call","No","","","","",""
"3120052","KC0DAA - David ","Private Call","No","","","","",""
"3120053","KF0XU - Lawrence","Private Call","No","","","","",""
"3120054","KE0IRV - Dawna ","Private Call","No","","","","",""
"3120055","N0KQX - Dale ","Private Call","No","","","","",""
"3120056","KE0HRB - Michael","Private Call","No","","","","",""
"3120057","AD0UN - Harald ","Private Call","No","","","","",""
"3120058","KC3OL - Ted ","Private Call","No","","","","",""
"3120059","KF0RS - Daniel ","Private Call","No","","","","",""
"3120060","N0TTN - Brian ","Private Call","No","","","","",""
"3120061","W0PRH - Paul ","Private Call","No","","","","",""
"3120062","KE0AEP - Keith ","Private Call","No","","","","",""
"3120063","W0DRN - Dennis ","Private Call","No","","","","",""
"3120064","K0GBW - Robert ","Private Call","No","","","","",""
"3120065","KK4MHI - David ","Private Call","No","","","","",""
"3120066","KD0MPB - Todd ","Private Call","No","","","","",""
"3120067","K0RU - Robert ","Private Call","No","","","","",""
"3120068","KB0YRG - Brian ","Private Call","No","","","","",""
"3120069","KB0YRG - Brian ","Private Call","No","","","","",""
"3120070","N0EI - John ","Private Call","No","","","","",""
"3120071","KY0F - Eddy ","Private Call","No","","","","",""
"3120072","KA3NAM - Joe ","Private Call","No","","","","",""
"3120073","WN4KPG - Frederi","Private Call","No","","","","",""
"3120074","K0GBW - Robert ","Private Call","No","","","","",""
"3120075","AC0YF - Simon ","Private Call","No","","","","",""
"3120076","KD0RYE - Deborah","Private Call","No","","","","",""
"3120077","K8RQX - Bruce ","Private Call","No","","","","",""
"3120078","W0PT - William ","Private Call","No","","","","",""
"3120079","KK4MHI - David ","Private Call","No","","","","",""
"3120080","KB0GUS - Josh ","Private Call","No","","","","",""
"3120081","N0MEM - Matthew ","Private Call","No","","","","",""
"3120082","KE0KJQ - Anthony","Private Call","No","","","","",""
"3120083","W0DRJ - Dewey ","Private Call","No","","","","",""
"3120084","KY4RCN - Richard","Private Call","No","","","","",""
"3120085","KE0FDT - Taylor ","Private Call","No","","","","",""
"3120086","KD0UGA - Brandon","Private Call","No","","","","",""
"3120087","KD0VFV - Roderic","Private Call","No","","","","",""
"3120088","KD0FRT - Scott ","Private Call","No","","","","",""
"3120089","KD0KKV - Scott ","Private Call","No","","","","",""
"3120090","KA0CDR - Thomas ","Private Call","No","","","","",""
"3120091","KD0IJT - John ","Private Call","No","","","","",""
"3120092","KE0AOU - David ","Private Call","No","","","","",""
"3120093","KC0PUK  - John ","Private Call","No","","","","",""
"3120094","KU0FAN - Bradley","Private Call","No","","","","",""
"3120095","KB0UIP - William","Private Call","No","","","","",""
"3120096","WB0NRV - Robert ","Private Call","No","","","","",""
"3120097","NM0N - Thomas ","Private Call","No","","","","",""
"3120098","WD0GQA - Charles","Private Call","No","","","","",""
"3120099","K0IMP - Allen ","Private Call","No","","","","",""
"3120100","NM0N - Thomas ","Private Call","No","","","","",""
"3120101","N0MJS - Cort ","Private Call","No","","","","",""
"3120102","KD0CYJ - Shannon","Private Call","No","","","","",""
"3120103","N0MJS - Cort ","Private Call","No","","","","",""
"3120104","N0RC - Reid ","Private Call","No","","","","",""
"3120105","WV0T - Phil ","Private Call","No","","","","",""
"3120106","WV0T - Philip ","Private Call","No","","","","",""
"3120107","KC0IDF - Lou ","Private Call","No","","","","",""
"3120108","W1AC - Brian ","Private Call","No","","","","",""
"3120109","WD0EMR - Ken ","Private Call","No","","","","",""
"3120110","WD0BWE - Don ","Private Call","No","","","","",""
"3120111","WA0DTH - Terry ","Private Call","No","","","","",""
"3120112","KG4UHV - Rosendo","Private Call","No","","","","",""
"3120113","KA2RZO - Rob ","Private Call","No","","","","",""
"3120114","WA5RGU - Travis ","Private Call","No","","","","",""
"3120115","KC0NFL - Bill ","Private Call","No","","","","",""
"3120116","K0DHB - Dave ","Private Call","No","","","","",""
"3120117","K0YEQ - Fred ","Private Call","No","","","","",""
"3120118","K0USY - K0USY ","Private Call","No","","","","",""
"3120119","K0USY - K0USY ","Private Call","No","","","","",""
"3120120","K0YEQ - Fred ","Private Call","No","","","","",""
"3120121","KC0YLK - Adam ","Private Call","No","","","","",""
"3120122","KC0YLK - Adam ","Private Call","No","","","","",""
"3120123","N0ECQ - Gavin ","Private Call","No","","","","",""
"3120124","N0ECQ - Gavin ","Private Call","No","","","","",""
"3120125","N0ECQ - Gavin ","Private Call","No","","","","",""
"3120126","N0ECQ - Gavin ","Private Call","No","","","","",""
"3120127","K1AMO - Jack ","Private Call","No","","","","",""
"3120128","KC0IQR - Charles","Private Call","No","","","","",""
"3120129","KA0BNR - Lyle ","Private Call","No","","","","",""
"3120130","N1HWC - Bill ","Private Call","No","","","","",""
"3120131","KD0SGH - Aaron ","Private Call","No","","","","",""
"3120132","W0RWC - Richard ","Private Call","No","","","","",""
"3120133","KD0SGH - Aaron ","Private Call","No","","","","",""
"3120134","WA0IKA - Gerald ","Private Call","No","","","","",""
"3120135","N0JRD - James ","Private Call","No","","","","",""
"3120136","K0OUS - Craig ","Private Call","No","","","","",""
"3120137","N0RC - Reid ","Private Call","No","","","","",""
"3120138","KI0IK - Michael ","Private Call","No","","","","",""
"3120139","KX0N - Casey ","Private Call","No","","","","",""
"3120140","WV0S - Rob ","Private Call","No","","","","",""
"3120141","K0JWH - Jordan ","Private Call","No","","","","",""
"3120142","N1LGX - Lee ","Private Call","No","","","","",""
"3120143","KA0RID - Marion ","Private Call","No","","","","",""
"3120144","N0CVW - Charles ","Private Call","No","","","","",""
"3120145","KD0LFF - Floyd ","Private Call","No","","","","",""
"3120146","KD0EZQ - Timothy","Private Call","No","","","","",""
"3120147","N0JDS - John ","Private Call","No","","","","",""
"3120148","KC0WSX - Joshua ","Private Call","No","","","","",""
"3120149","KS1EMS - Jay ","Private Call","No","","","","",""
"3120150","KC0ZME - Matt ","Private Call","No","","","","",""
"3120151","N0MMR - Perry ","Private Call","No","","","","",""
"3120152","N0JRD - Ryan ","Private Call","No","","","","",""
"3120153","N0PPN - Richard ","Private Call","No","","","","",""
"3120154","KC1JG - Jerry ","Private Call","No","","","","",""
"3120155","KD0KDD - Jeff ","Private Call","No","","","","",""
"3120156","W0TLC - Terry ","Private Call","No","","","","",""
"3120157","KD0CYJ - Shannon","Private Call","No","","","","",""
"3120158","WA0HVU - Jerry ","Private Call","No","","","","",""
"3120159","NI8K - Kurt ","Private Call","No","","","","",""
"3120160","KD0PDS - Michael","Private Call","No","","","","",""
"3120161","AA0MI - Keith ","Private Call","No","","","","",""
"3120162","W1AC - Brian ","Private Call","No","","","","",""
"3120163","W0VCG - Justin ","Private Call","No","","","","",""
"3120164","KD2AHJ - Daniel ","Private Call","No","","","","",""
"3120165","AD0HD - Al ","Private Call","No","","","","",""
"3120166","KU0PD - Travis ","Private Call","No","","","","",""
"3120167","KD0NLO - Patrick","Private Call","No","","","","",""
"3120168","K0LOL - Dani ","Private Call","No","","","","",""
"3120169","KD0RDM - Jon ","Private Call","No","","","","",""
"3120170","KD0RDM - Jon ","Private Call","No","","","","",""
"3120171","KU0PD - Travis ","Private Call","No","","","","",""
"3120172","KA8MMI - Neil ","Private Call","No","","","","",""
"3120173","N0YUR - Cindy ","Private Call","No","","","","",""
"3120174","WA0VRS - Steve ","Private Call","No","","","","",""
"3120175","W0AIB - Laurance","Private Call","No","","","","",""
"3120176","N0SWP - Steve ","Private Call","No","","","","",""
"3120177","KA1EBQ - Josh ","Private Call","No","","","","",""
"3120178","KK4MHI - David ","Private Call","No","","","","",""
"3120179","KC1TOW - Danny ","Private Call","No","","","","",""
"3120180","N6UOP - John ","Private Call","No","","","","",""
"3120181","K0HCV - Harold ","Private Call","No","","","","",""
"3120182","WA0CBW - Bill ","Private Call","No","","","","",""
"3120183","KK4MHI - David ","Private Call","No","","","","",""
"3120184","K0TOY - Matt ","Private Call","No","","","","",""
"3120186","KE0AEQ - Harris ","Private Call","No","","","","",""
"3120187","NZ0Q - Jim ","Private Call","No","","","","",""
"3120188","KD0WWX - Eric ","Private Call","No","","","","",""
"3120189","KD0WWX - Eric ","Private Call","No","","","","",""
"3120190","WB0OUE - David ","Private Call","No","","","","",""
"3120191","N0YG - Robert ","Private Call","No","","","","",""
"3120192","KD0QZR - Justin ","Private Call","No","","","","",""
"3120193","MW1COE - Robert ","Private Call","No","","","","",""
"3120194","MW3COE - Robert ","Private Call","No","","","","",""
"3120195","KD0NRC - Noah ","Private Call","No","","","","",""
"3120196","KE0LMM - Kevin ","Private Call","No","","","","",""
"3120197","N0TAP - David ","Private Call","No","","","","",""
"3120198","W0YYZ - Craig ","Private Call","No","","","","",""
"3120199","KE0CAZ - Jeffrey","Private Call","No","","","","",""
"3120200","WB0PTZ - Michael","Private Call","No","","","","",""
"3120201","KD0JWD - Edwin ","Private Call","No","","","","",""
"3120202","KD0EZQ - Timothy","Private Call","No","","","","",""
"3120203","W4RLK - Baron ","Private Call","No","","","","",""
"3120204","N0LOT - R ","Private Call","No","","","","",""
"3120205","KB0TOT - Charles","Private Call","No","","","","",""
"3120206","KE0KSN - William","Private Call","No","","","","",""
"3120207","KE0MDQ - Michael","Private Call","No","","","","",""
